PreProcessing,dataset,TP,FP,FN,precision,recall,avg_pre_processing_time,avg_classification_time,avg_total_time,avg_level_weights,std_level_weights
retinexFM,BioID,0.00657462195923741,0,-0.00657462195923734,0.000836722727089345,0.00657462195923741,4479512.65752775,147.633521948511,799.707401039287,6.9811558903393,-15.2159234206408
retinexFM,SoF,0.023290758827949,0.0116453794139744,-0.0232907588279489,-0.00359301330025297,0.023290758827949,13244348.637089,117.550697271493,1078.93189666881,4.6841288031565,-0.864263999836563
retinexFM,TotalFace,0.0106974159488747,0.00694637399277578,-0.0106974159488747,-0.00411781811221579,0.0106974159488747,8624031.55989538,122.665987728979,923.305588476512,3.19104989124243,-2.46406857856672
retinexFM,NonFace,-0.0257787325456498,0.0537056928034371,0,0,-0.0349678308710806,3821199.35121154,125.326400386463,622.885569649265,17.3568511024635,8.63164588346316
tvChambolle,BioID,-0.0874424720578566,-0.157133464825773,0.0874424720578567,0.13648264913454,-0.0874424720578566,6507903.9317171,-47.3686546486795,900.01228586959,-44.5731465254651,-18.7600658365484
tvChambolle,SoF,-0.184072126220887,-0.198347107438017,0.184072126220887,0.181360699262819,-0.184072126220887,20137218.5212534,-45.3220043646902,1416.41531658126,-43.4222620476332,-14.5202503644532
tvChambolle,mit_cbcl,-0.594,-0.002,0.594,0.00212765957446803,-0.594,965658.60165218,-37.0365825889712,290.553790248185,-94.8988226905878,-64.9782848485266
tvChambolle,caltech,-0.0066666666666666,-0.222222222222222,0.00666666666666667,0.109776883323395,-0.0066666666666666,26166782.5519459,-56.5240819362779,740.220161875124,-8.74635991665103,-1.23711963167042
tvChambolle,yale,-0.0060606060606061,0,0.00606060606060606,0,-0.0060606060606061,2538499.89327135,-43.7938912964081,444.808707364452,-30.7134521326941,8.06942971086932
tvChambolle,orl,-0.3375,-0.005,0.3375,0.00531914893617025,-0.3375,1028199.31189948,-20.051874391433,459.667180065033,-86.0519764446697,-48.8902897857197
tvChambolle,TotalFace,-0.270908585718255,-0.121283689913865,0.270908585718255,0.0983038594706519,-0.270908585718255,12300752.6921613,-47.600783858347,1094.39966588854,-59.4354704916311,-10.2506928159307
tvChambolle,NonFace,0.215896885069817,-0.381310418904404,0,0,0.309489080965423,5617754.07946819,-61.466814643788,670.054118510155,-78.2103295415429,-46.1854699266952
